species_id;breed_id;standard_id;status;country;show_class;name;is_multi_breed
;525;525;created;Moldova;three;Mckenzie-Anderson;False
;526;526;created;Honduras;one;Lopez-Owens;False
748;;;created;Ethiopia;two;Chan, Trevino and Holmes;True
55;;;created;Indonesia;two;Brown LLC;True
;529;529;created;Tonga;three;Carter and Sons;False
537;;;created;Serbia;one;Cochran-Peck;True
;531;531;created;Kuwait;two;Lee Ltd;False
627;;;created;Gambia;one;Chan, Dean and Martinez;True
;533;533;created;Monaco;three;Martinez, Bauer and Flores;False
;534;534;created;Nepal;three;Burke-Short;False
;535;535;created;Serbia;three;Smith-Hernandez;False
906;;;created;Suriname;one;Foster, Foster and Jones;True
386;;;created;Luxembourg;three;Freeman and Sons;True
;538;538;created;Ivory Coast;three;Jones-Johnson;False
819;;;created;Romania;three;Austin-Salazar;True
;540;540;created;Hungary;two;Smith, Russell and Grimes;False
404;;;created;Benin;one;Baird-Smith;True
408;;;created;Mongolia;three;Ortiz, Zhang and Atkins;True
;543;543;created;France;two;Ingram-Watts;False
;544;544;created;Moldova;one;Fischer, Klein and Rojas;False
17;;;created;Malta;two;Gilbert-Miller;True
940;;;created;Ghana;two;Anderson-Miller;True
;547;547;created;Syria;three;James-Green;False
243;;;created;Georgia;two;Hicks-Sellers;True
657;;;created;Malawi;three;Giles-Cline;True
;550;550;created;Eritrea;one;Jones Inc;False
542;;;created;Bosnia Herzegovina;two;Hobbs Ltd;True
22;;;created;Pakistan;two;Larsen, Sherman and Morrison;True
;553;553;created;Honduras;two;Williams, Medina and Webster;False
;554;554;created;Pakistan;one;Carlson-Rose;False
;555;555;created;Senegal;two;Patton LLC;False
;556;556;created;Hungary;two;Hogan-Nicholson;False
;557;557;created;Afghanistan;three;Eaton and Sons;False
;558;558;created;St Kitts & Nevis;two;Johnson-Wright;False
161;;;created;Netherlands;three;Sanchez, Hanson and Cochran;True
;560;560;created;St Kitts & Nevis;two;Wheeler, Bailey and George;False
;561;561;created;Cameroon;three;Cline Ltd;False
218;;;created;Costa Rica;one;Bailey-Long;True
;563;563;created;Benin;three;Cooper-Taylor;False
;564;564;created;Guatemala;three;Thompson-Stevenson;False
852;;;created;Fiji;two;Lee, Miller and Norris;True
;566;566;created;Tonga;one;Donovan PLC;False
;567;567;created;Libya;one;Washington Group;False
233;;;created;Samoa;one;Webb, Dawson and Johnson;True
933;;;created;Liechtenstein;three;Mccullough and Sons;True
452;;;created;Korea North;three;Bryant-Jackson;True
646;;;created;Yemen;two;Rich-Miller;True
;572;572;created;Ethiopia;two;Harrell, White and Thomas;False
677;;;created;San Marino;two;Pittman Inc;True
749;;;created;Gabon;three;Bailey-Walker;True
285;;;created;Armenia;two;Collins-Osborne;True
;576;576;created;Ghana;three;Mccoy Ltd;False
476;;;created;Guinea-Bissau;one;Roberts, Henderson and Alvarado;True
428;;;created;France;two;Terrell-Tucker;True
;579;579;created;Brunei;three;Maxwell-Ray;False
864;;;created;Andorra;one;Ramirez PLC;True
;581;581;created;Japan;three;Mack, Collins and Grant;False
;582;582;created;Nicaragua;three;Burns Ltd;False
;583;583;created;Dominican Republic;one;Mcmahon LLC;False
204;;;created;Canada;three;Ortiz-Reed;True
784;;;created;Trinidad & Tobago;three;Sanchez Inc;True
261;;;created;Ireland (Republic);two;Pierce, Harris and Lopez;True
;587;587;created;New Zealand;three;Odonnell, Roberts and Johnson;False
;588;588;created;Yemen;one;Manning and Sons;False
;589;589;created;Korea North;one;Parker-Brown;False
941;;;created;Antigua & Deps;two;Porter PLC;True
;591;591;created;Kuwait;three;Hunter Group;False
23;;;created;Comoros;one;Jackson Inc;True
;593;593;created;Libya;one;Clark Inc;False
698;;;created;Djibouti;two;Singh, Lee and Barker;True
22;;;created;Andorra;one;Jones Inc;True
;596;596;created;Syria;two;Delacruz, Oliver and Schmidt;False
961;;;created;Malawi;three;Baxter, Foster and Bradley;True
908;;;created;Mauritania;three;Williams-Owens;True
;599;599;created;Ireland (Republic);one;Oliver-Mcdaniel;False
;600;600;created;Ecuador;three;Acosta-Farmer;False
415;;;created;Panama;two;Brock Inc;True
;602;602;created;Czech Republic;one;Silva Inc;False
;603;603;created;El Salvador;two;Soto-Delacruz;False
702;;;created;Netherlands;two;Diaz, Vaughan and Lawrence;True
421;;;created;Nauru;two;Moore-Rodriguez;True
618;;;created;Nauru;one;Clark LLC;True
50;;;created;Kosovo;two;Walker PLC;True
;608;608;created;Paraguay;one;Hamilton Ltd;False
;609;609;created;Costa Rica;two;Luna-Henderson;False
388;;;created;Angola;one;Martin, Wilson and Thomas;True
869;;;created;Suriname;one;Gibson, Johnson and Smith;True
537;;;created;Panama;two;Tran Ltd;True
191;;;created;Guyana;one;Duncan, Moses and Wilson;True
;614;614;created;Belize;three;Garcia, Davis and Torres;False
710;;;created;Pakistan;one;Robinson-Barnes;True
442;;;created;Palau;two;Dickerson LLC;True
238;;;created;Brunei;three;Nguyen-Olson;True
616;;;created;Algeria;two;Robinson-Stewart;True
;619;619;created;Tunisia;one;Williams-Clark;False
312;;;created;Czech Republic;one;Mercer, Yoder and Gonzalez;True
;621;621;created;Barbados;one;Peterson, Campbell and Jones;False
;622;622;created;Honduras;three;Wagner Ltd;False
;623;623;created;Slovenia;one;Graham, Brown and Cox;False
722;;;created;Lesotho;one;Smith-Fox;True
557;;;created;Philippines;one;Robbins, Roach and Thornton;True
150;;;created;Ireland (Republic);two;Gordon, Reynolds and Murray;True
;627;627;created;Benin;three;Harris LLC;False
222;;;created;Kazakhstan;one;Schmitt Inc;True
;629;629;created;Russian Federation;two;Perez Inc;False
178;;;created;Angola;one;Thomas, Mann and Gutierrez;True
;631;631;created;Malaysia;two;Smith, Lucas and Williams;False
899;;;created;Trinidad & Tobago;two;Reyes LLC;True
58;;;created;Spain;two;Dodson-Hunt;True
784;;;created;Poland;two;Brooks-Brown;True
316;;;created;Afghanistan;three;Burns, Perez and Boyle;True
348;;;created;Montenegro;three;Rodriguez Inc;True
479;;;created;Eswatini;two;Elliott-Smith;True
;638;638;created;Montenegro;three;Simmons, Downs and Peterson;False
;639;639;created;Antigua & Deps;two;Arnold Ltd;False
30;;;created;Botswana;three;Alvarez-White;True
;641;641;created;Bangladesh;two;Hall, George and Anderson;False
351;;;created;Jordan;one;Terrell Inc;True
907;;;created;Colombia;one;Brandt-Meyer;True
371;;;created;Korea South;three;Chavez Inc;True
;645;645;created;Tunisia;two;Mcbride and Sons;False
665;;;created;Guyana;one;Ho-Price;True
;647;647;created;Laos;two;Torres and Sons;False
197;;;created;Kuwait;three;Walters-Jackson;True
;649;649;created;Korea North;one;Johnson-Ramirez;False
891;;;created;Bulgaria;three;Henderson-Barrett;True
739;;;created;Paraguay;two;Sanchez LLC;True
985;;;created;Ethiopia;one;Anderson-Benjamin;True
;653;653;created;Tuvalu;three;Ortiz, Freeman and Thompson;False
513;;;created;Georgia;three;Davis-Garner;True
;655;655;created;Switzerland;two;Heath, Russell and Lopez;False
187;;;created;Saint Vincent & the Grenadines;one;Keith, Kent and Torres;True
;657;657;created;Vietnam;one;Freeman-Morrow;False
;658;658;created;Ethiopia;one;Freeman Ltd;False
874;;;created;Liechtenstein;one;Andrade, Long and Beck;True
;660;660;created;Solomon Islands;three;Cole and Sons;False
22;;;created;Eswatini;three;Ibarra, White and Mcdonald;True
368;;;created;Vanuatu;two;Christensen-Morgan;True
950;;;created;Zimbabwe;two;Campbell, Lutz and Ramos;True
;664;664;created;Kyrgyzstan;one;Peters LLC;False
319;;;created;United Kingdom;one;Patel, Lawrence and Anderson;True
;666;666;created;St Kitts & Nevis;three;Green-Stewart;False
210;;;created;Canada;two;Cooper, Jimenez and Vaughan;True
332;;;created;Equatorial Guinea;three;Franklin and Sons;True
737;;;created;Botswana;one;Cohen Ltd;True
756;;;created;Haiti;three;Rasmussen-Fuentes;True
371;;;created;Zimbabwe;two;James, Harrison and House;True
;672;672;created;Chile;one;Aguilar PLC;False
;673;673;created;Bahrain;one;Williams-Allen;False
;674;674;created;Bahamas;three;Harrell-Diaz;False
157;;;created;Oman;two;Richards-Dixon;True
;676;676;created;Japan;two;Smith, Gutierrez and Baldwin;False
21;;;created;Turkmenistan;three;Ferguson-Lane;True
;678;678;created;Marshall Islands;two;Suarez and Sons;False
;679;679;created;Cuba;three;Warren, Harris and Clark;False
873;;;created;Latvia;two;Cervantes PLC;True
578;;;created;San Marino;two;Fisher, Mcneil and Lam;True
;682;682;created;Pakistan;one;Webster, Sanchez and Holmes;False
;683;683;created;Monaco;one;Zamora-Jackson;False
949;;;created;Rwanda;one;Johnson-Gordon;True
689;;;created;Chad;two;Combs-Franco;True
;686;686;created;Eritrea;three;Butler, Nicholson and Black;False
950;;;created;Marshall Islands;one;Lawson-Nelson;True
;688;688;created;Malaysia;two;Trevino, Lynch and Evans;False
471;;;created;Guatemala;one;Parks, Dean and Mills;True
;690;690;created;Iceland;two;Carter-Avila;False
;691;691;created;East Timor;one;Galloway and Sons;False
410;;;created;Italy;one;Wallace Ltd;True
969;;;created;Syria;one;Rosales PLC;True
;694;694;created;Georgia;three;Mendoza-Gray;False
;695;695;created;Trinidad & Tobago;one;Osborne-Webb;False
;696;696;created;Andorra;three;Johnson, Adams and Cline;False
;697;697;created;Sierra Leone;three;Roberts-Williams;False
;698;698;created;Vietnam;two;Cervantes, Russo and Miller;False
106;;;created;St Lucia;two;Dean, Stewart and Jackson;True
;700;700;created;St Lucia;two;Hayes-Brown;False
;701;701;created;Ivory Coast;two;Collins Ltd;False
;702;702;created;Maldives;three;Cantu, Moss and Edwards;False
;703;703;created;Egypt;one;Lopez-Stone;False
271;;;created;Ireland (Republic);one;Moore-Cunningham;True
982;;;created;Portugal;one;Little, Hernandez and Wong;True
;706;706;created;Yemen;three;Gross Group;False
;707;707;created;Mexico;one;Foley, Walker and Calderon;False
303;;;created;Guinea-Bissau;three;Gibson Ltd;True
;709;709;created;Kosovo;one;Morales Inc;False
149;;;created;Congo;three;Clark Group;True
;711;711;created;Burkina;one;Mckee and Sons;False
951;;;created;Tunisia;three;Howard, Waller and Smith;True
154;;;created;Netherlands;two;Pearson, Johnson and Anderson;True
193;;;created;Maldives;two;Carter-Anderson;True
621;;;created;Azerbaijan;one;Johnson PLC;True
;716;716;created;Finland;three;Faulkner, Garcia and Romero;False
;717;717;created;Hungary;three;Knight, Patterson and Bowman;False
474;;;created;Netherlands;one;Bell-Davis;True
;719;719;created;Macedonia;two;Myers Inc;False
44;;;created;Somalia;one;Hubbard, Harris and Guerra;True
335;;;created;Oman;three;Owens-Mejia;True
;722;722;created;Colombia;one;Gilbert PLC;False
918;;;created;Comoros;three;Chan LLC;True
474;;;created;Spain;two;Hodge, Mejia and Cherry;True
294;;;created;Liberia;three;Clark LLC;True
;726;726;created;Liberia;two;Estrada PLC;False
;727;727;created;Syria;two;Simmons-Tucker;False
;728;728;created;Taiwan;one;Perez Inc;False
;729;729;created;Papua New Guinea;three;Whitney-Colon;False
;730;730;created;San Marino;one;Warner PLC;False
;731;731;created;Congo;one;White, Thornton and Campos;False
;732;732;created;Central African Rep;one;Goodman, Howell and Reid;False
603;;;created;Sao Tome & Principe;one;Vargas-Huffman;True
242;;;created;Chad;three;Watkins, Wright and Rhodes;True
815;;;created;Sudan;one;White-Martinez;True
349;;;created;Zambia;three;Jennings, Watts and Calderon;True
;737;737;created;Moldova;two;Thomas-Farmer;False
297;;;created;Moldova;two;Hubbard-Rush;True
;739;739;created;Qatar;one;Price-Green;False
;740;740;created;Mexico;three;Christensen Group;False
;741;741;created;Trinidad & Tobago;one;Norman Group;False
598;;;created;Honduras;one;Pope, Henderson and Hale;True
41;;;created;Bangladesh;one;Lester, Houston and Henderson;True
;744;744;created;Turkmenistan;two;Day Group;False
726;;;created;Tonga;one;Edwards-Swanson;True
906;;;created;Austria;one;Thompson-Simon;True
;747;747;created;Nigeria;three;Clements LLC;False
652;;;created;Zambia;one;Johnson, Montgomery and Hall;True
;749;749;created;Armenia;three;Gilbert-Walsh;False
;750;750;created;Lesotho;three;Lopez-Knight;False
;751;751;created;Palestine;three;Baker-Washington;False
384;;;created;Sudan;one;Bennett, Sanchez and Morgan;True
838;;;created;Poland;three;Austin, Foster and White;True
;754;754;created;Lebanon;three;Jackson, Howard and Wood;False
;755;755;created;Montenegro;three;Estes Inc;False
;756;756;created;Belize;three;Gross Group;False
582;;;created;Uganda;three;Baker-Lee;True
;758;758;created;Guatemala;two;Hudson Group;False
552;;;created;United Arab Emirates;three;Phillips Inc;True
523;;;created;Morocco;one;Jacobs-Mcclure;True
;761;761;created;United Kingdom;two;Peterson and Sons;False
;762;762;created;Venezuela;two;Maddox-Turner;False
;763;763;created;Greece;two;Green-Duarte;False
43;;;created;Tunisia;three;Soto PLC;True
519;;;created;South Africa;three;Aguilar-Johnson;True
;766;766;created;Argentina;two;Harrington-Boone;False
669;;;created;Laos;one;Mendoza, Perkins and Shannon;True
814;;;created;Liechtenstein;two;Martinez PLC;True
136;;;created;Bhutan;one;Acosta-Conley;True
736;;;created;Liberia;two;Mckay, Williams and Jackson;True
632;;;created;Montenegro;three;Olson-Schroeder;True
644;;;created;Nauru;one;Coffey-Leach;True
;773;773;created;Pakistan;three;Olson, Miller and Reilly;False
;774;774;created;Bulgaria;one;Adams-Peck;False
;775;775;created;Mali;one;Marks-White;False
182;;;created;Belize;three;Wade, Clarke and Garcia;True
154;;;created;Guyana;two;Jensen-Joyce;True
225;;;created;Iran;two;Roy-Johnston;True
281;;;created;United States;one;Alvarez, Cruz and Porter;True
511;;;created;El Salvador;three;Gordon-Johnson;True
;781;781;created;Colombia;three;Martin Inc;False
544;;;created;Bahamas;one;Hoffman LLC;True
;783;783;created;Hungary;two;Black-Andrews;False
607;;;created;Kuwait;one;Morgan LLC;True
883;;;created;Iceland;one;Williams, Chapman and Jackson;True
;786;786;created;Zimbabwe;one;Pena-Harris;False
;787;787;created;Sao Tome & Principe;three;Murray-Coleman;False
;788;788;created;Niger;two;Barnes-Payne;False
962;;;created;Italy;three;Walker Group;True
;790;790;created;Congo;three;Graves and Sons;False
365;;;created;Poland;two;Reed Ltd;True
;792;792;created;Suriname;one;Robinson Ltd;False
;793;793;created;Mauritania;one;Wilson, Ball and Cooper;False
816;;;created;Jordan;two;Taylor-Mccoy;True
467;;;created;Turkey;one;Lee-Rodriguez;True
;796;796;created;Djibouti;three;Schultz-Fletcher;False
;797;797;created;Sao Tome & Principe;three;Reyes, Madden and Williams;False
;798;798;created;Cyprus;two;Stanley, Rivera and Collins;False
;799;799;created;Myanmar;three;Garza, Schwartz and Nunez;False
229;;;created;Kazakhstan;one;Snyder Group;True
;801;801;created;Ecuador;one;Adams, Little and Meyers;False
612;;;created;Bolivia;one;Miller-Berry;True
164;;;created;Belize;three;Baldwin Inc;True
;804;804;created;Ecuador;two;Acosta-Ford;False
805;;;created;Uganda;one;Casey, Lloyd and Johnson;True
216;;;created;Iceland;one;Gordon, Lee and Greene;True
508;;;created;Cameroon;two;Baker-Sandoval;True
;808;808;created;Libya;two;Avila-Horn;False
;809;809;created;India;one;Thornton, Anderson and Proctor;False
885;;;created;Austria;two;Stephens Ltd;True
;811;811;created;Seychelles;three;Gregory PLC;False
492;;;created;Nicaragua;three;Cruz-Gentry;True
921;;;created;Slovakia;two;Davis LLC;True
;814;814;created;Luxembourg;three;Mckenzie Ltd;False
;815;815;created;Israel;one;Henderson, Schwartz and Clements;False
;816;816;created;Vatican City;three;Pittman Inc;False
659;;;created;Lithuania;one;Adams, Cohen and George;True
897;;;created;Bahrain;one;Moses, Reyes and Johnson;True
;819;819;created;Hungary;two;Rodriguez, Rodriguez and Taylor;False
791;;;created;Bolivia;three;Thompson LLC;True
535;;;created;Ireland (Republic);three;Griffin-Gardner;True
54;;;created;Nicaragua;two;Lewis-Davis;True
;823;823;created;Slovakia;two;Norman-Taylor;False
555;;;created;Afghanistan;two;Peck-Robbins;True
829;;;created;Tunisia;three;Curtis-Williams;True
;826;826;created;Lebanon;one;Miranda PLC;False
824;;;created;Marshall Islands;three;Bennett, Escobar and Proctor;True
;828;828;created;South Sudan;two;Logan, Torres and Moore;False
;829;829;created;Guinea-Bissau;one;Smith, Hood and Miranda;False
587;;;created;Taiwan;three;Martin-Brady;True
83;;;created;Seychelles;two;Adams LLC;True
514;;;created;Ivory Coast;one;Gallegos-Owen;True
;833;833;created;Tonga;two;Smith-Gibson;False
610;;;created;Singapore;one;Moon-Crawford;True
67;;;created;Senegal;three;Ryan, Aguilar and Herman;True
;836;836;created;Colombia;two;Hernandez-Ward;False
;837;837;created;Bhutan;two;Lee LLC;False
;838;838;created;Croatia;two;Brewer Group;False
804;;;created;United Kingdom;one;Shelton, Kelley and Nguyen;True
453;;;created;Poland;two;Pierce-Lutz;True
;841;841;created;Jamaica;two;Jordan-White;False
;842;842;created;Bangladesh;three;Mendez LLC;False
;843;843;created;Trinidad & Tobago;two;Simpson, Morris and Maxwell;False
;844;844;created;Monaco;three;Thomas-Rubio;False
;845;845;created;China;three;Moore-Thomas;False
77;;;created;India;two;Rojas-Barton;True
;847;847;created;Estonia;three;Hogan, Meyers and Nichols;False
527;;;created;Bolivia;one;Graham, Ruiz and Calderon;True
;849;849;created;Tanzania;one;Li and Sons;False
;850;850;created;Tonga;one;Carter-Bennett;False
;851;851;created;Denmark;one;Baker, Dawson and Hawkins;False
946;;;created;Grenada;three;Scott, Perez and Porter;True
8;;;created;Kenya;three;Montgomery LLC;True
337;;;created;Andorra;one;Reed-Nelson;True
206;;;created;Rwanda;two;Johnson-Henderson;True
;856;856;created;Vatican City;three;Watts, Estes and Ward;False
841;;;created;Senegal;three;Frank Group;True
;858;858;created;Pakistan;one;Freeman-Harrell;False
991;;;created;New Zealand;three;Foley PLC;True
;860;860;created;Chad;two;Page PLC;False
;861;861;created;Turkey;one;Hernandez Inc;False
;862;862;created;Moldova;one;Castillo LLC;False
314;;;created;Fiji;one;Herman-Stephens;True
;864;864;created;Bhutan;one;Flores, Young and Thomas;False
;865;865;created;Guinea;three;Figueroa, May and Yates;False
568;;;created;Jamaica;one;Baker-Hopkins;True
13;;;created;Paraguay;two;Escobar LLC;True
490;;;created;Seychelles;one;Kirby PLC;True
;869;869;created;Vatican City;three;Valenzuela, Williams and Torres;False
410;;;created;Antigua & Deps;one;Schneider, Coleman and Lopez;True
480;;;created;Vatican City;three;Tucker, Reyes and Jones;True
987;;;created;Jordan;one;Daniels LLC;True
;873;873;created;Costa Rica;one;Johnson, Evans and Baldwin;False
;874;874;created;Philippines;three;Davis-Contreras;False
931;;;created;Malaysia;one;Oconnell-Olson;True
;876;876;created;Kazakhstan;three;Martinez, Hart and Williams;False
903;;;created;Syria;one;Cole Inc;True
;878;878;created;Eswatini;one;Jackson, Davidson and Bates;False
218;;;created;Benin;one;Weeks-Juarez;True
991;;;created;Niger;two;Watts, Brown and Henson;True
;881;881;created;Greece;one;Bailey, Gross and Garner;False
;882;882;created;Botswana;two;Galloway-Moses;False
425;;;created;Kenya;two;Turner, Fox and Zuniga;True
754;;;created;Algeria;three;Thompson Ltd;True
214;;;created;Sudan;two;Rivers, Chambers and Bush;True
;886;886;created;Denmark;three;Reed, Martinez and Jensen;False
134;;;created;Chile;three;Weaver-Hughes;True
;888;888;created;Gabon;one;Ayers-Sosa;False
897;;;created;Belgium;two;Burton-Kennedy;True
;890;890;created;Tuvalu;three;Rojas Inc;False
;891;891;created;Russian Federation;one;Kerr, Clements and Richards;False
;892;892;created;Albania;one;Norman LLC;False
986;;;created;Taiwan;three;Whitehead-Tran;True
339;;;created;Bolivia;one;Russell-Williams;True
;895;895;created;Germany;one;Harris-Williams;False
;896;896;created;Bangladesh;one;Russo, Johnson and Edwards;False
850;;;created;Bhutan;two;Archer Group;True
;898;898;created;Costa Rica;two;Miller, Patterson and Miller;False
338;;;created;Belarus;one;Bright PLC;True
328;;;created;Monaco;one;Martin-Taylor;True
908;;;created;St Kitts & Nevis;one;Pena Inc;True
982;;;created;Dominican Republic;three;Norton Inc;True
378;;;created;Bosnia Herzegovina;three;Hansen, Beard and Ferguson;True
124;;;created;Cyprus;three;Cole, Jackson and Miller;True
;905;905;created;Liechtenstein;two;Sanders, Gamble and Garcia;False
;906;906;created;Myanmar;one;Shaffer, Peters and Crawford;False
585;;;created;Antigua & Deps;one;Taylor-Riley;True
434;;;created;Guinea-Bissau;three;Mejia and Sons;True
;909;909;created;Sri Lanka;two;Walker, Villarreal and Martin;False
;910;910;created;Palestine;one;Lozano-Lee;False
553;;;created;Bhutan;three;Brown Ltd;True
294;;;created;Haiti;three;Ray-Gonzalez;True
574;;;created;Belgium;one;Nixon-Thomas;True
324;;;created;Belgium;one;Day-Brown;True
360;;;created;Greece;three;Wood-Navarro;True
;916;916;created;Samoa;two;Smith-Delgado;False
354;;;created;Panama;one;Reynolds PLC;True
;918;918;created;Australia;three;Peterson, Harris and Russell;False
;919;919;created;United Arab Emirates;two;Williams-Jacobs;False
;920;920;created;Norway;three;Murphy PLC;False
;921;921;created;Chile;two;Gonzalez PLC;False
131;;;created;Iceland;three;Davis-Wells;True
;923;923;created;Belarus;one;Lawson LLC;False
564;;;created;Germany;three;James-Roberts;True
302;;;created;Papua New Guinea;three;Dougherty and Sons;True
;926;926;created;Bhutan;one;Garcia, Washington and Mills;False
226;;;created;Lesotho;three;West Inc;True
;928;928;created;Saint Vincent & the Grenadines;one;Cabrera PLC;False
;929;929;created;Micronesia;two;Gomez-Jones;False
;930;930;created;Kyrgyzstan;two;Benitez, Davidson and Williams;False
;931;931;created;Gabon;three;Walker-Wyatt;False
;932;932;created;United States;two;Shah and Sons;False
429;;;created;Algeria;two;Mcdonald Group;True
;934;934;created;Pakistan;two;Foster Inc;False
724;;;created;Thailand;two;Caldwell-Baker;True
;936;936;created;Tanzania;one;Haley, Gonzalez and Weaver;False
573;;;created;Eswatini;two;Sherman-Harrison;True
;938;938;created;Samoa;three;Jackson-Davidson;False
;939;939;created;Spain;one;Brooks and Sons;False
880;;;created;Serbia;three;Glenn-Jackson;True
400;;;created;Iceland;one;Hunter PLC;True
;942;942;created;Russian Federation;one;Garrison Inc;False
;943;943;created;Kiribati;three;Thomas LLC;False
;944;944;created;Senegal;three;Carson, Evans and Edwards;False
953;;;created;Paraguay;three;Daugherty, James and Parsons;True
87;;;created;Malaysia;two;Carpenter Inc;True
227;;;created;Israel;one;Brown-Garrison;True
496;;;created;Moldova;three;Scott LLC;True
658;;;created;Ethiopia;three;Nunez, Fuentes and Salazar;True
;950;950;created;Ukraine;three;Mcdonald-Macdonald;False
244;;;created;Burundi;three;Leonard, Ayers and Bates;True
;952;952;created;Congo;one;Jones Group;False
;953;953;created;Czech Republic;two;Sanchez LLC;False
764;;;created;Germany;one;Edwards, Dickerson and Wise;True
;955;955;created;Ecuador;three;Vargas-Warren;False
457;;;created;Jamaica;one;Coffey-West;True
;957;957;created;Togo;one;Mccarthy-Hernandez;False
692;;;created;Jamaica;three;Collins, Riley and Warner;True
219;;;created;Trinidad & Tobago;two;Decker, Brooks and Jackson;True
;960;960;created;Kiribati;two;Melton, Maldonado and Banks;False
;961;961;created;Mali;three;Clark, Gill and Glover;False
;962;962;created;Armenia;three;Davis-Edwards;False
815;;;created;Trinidad & Tobago;three;Alexander-White;True
62;;;created;Macedonia;two;Clark, Romero and Fisher;True
145;;;created;Georgia;two;Johnson, Rivera and Robinson;True
;966;966;created;Afghanistan;two;Williams LLC;False
;967;967;created;Indonesia;one;Moore-Ray;False
;968;968;created;Monaco;two;Maynard-Williams;False
210;;;created;Macedonia;two;Hansen-Johnson;True
276;;;created;Lesotho;two;Carter Inc;True
;971;971;created;Canada;two;Benson-Bauer;False
460;;;created;Tanzania;two;Watts-Riggs;True
503;;;created;Sweden;one;Cox, Briggs and Watkins;True
464;;;created;France;two;Thompson Inc;True
;975;975;created;Bermuda;two;Fleming, Gonzales and Sexton;False
;976;976;created;Cameroon;two;Anderson, Lynch and Jones;False
589;;;created;Bahamas;one;Scott and Sons;True
;978;978;created;Myanmar;two;Anderson-Macdonald;False
;979;979;created;Denmark;one;Anderson, Shelton and Silva;False
450;;;created;Vatican City;one;Butler, Anderson and Walton;True
;981;981;created;Portugal;three;Ross Inc;False
;982;982;created;Bangladesh;one;Lewis, Fowler and Cook;False
;983;983;created;Croatia;one;Morris-Coleman;False
171;;;created;Slovenia;two;Rodriguez Ltd;True
;985;985;created;Kiribati;one;Ramirez and Sons;False
;986;986;created;Bolivia;three;Walsh, Rodriguez and King;False
269;;;created;Austria;one;Bowers, Meyer and Thompson;True
952;;;created;Vietnam;three;Harper and Sons;True
756;;;created;Switzerland;one;Price Group;True
;990;990;created;Mexico;one;Trujillo LLC;False
;991;991;created;Nepal;two;Ford LLC;False
;992;992;created;Turkey;one;Anderson, Young and Smith;False
831;;;created;Afghanistan;one;Jacobs, Serrano and Clark;True
;994;994;created;Guinea-Bissau;three;James Ltd;False
;995;995;created;Serbia;one;Bailey Ltd;False
;996;996;created;Bolivia;two;Wilson, Hill and Richardson;False
685;;;created;Uzbekistan;two;David Inc;True
;998;998;created;Grenada;one;Villa-Preston;False
274;;;created;East Timor;one;Cain Inc;True
43;;;created;Senegal;one;Moon-Mcdaniel;True
;1;1001;created;Canada;three;Davis-West;false
;2;1002;created;Suriname;one;Cortez Group;false
;3;1003;stopped;Belgium;two;George Ltd;false
;4;1004;started;Czech Republic;one;Jackson-Sherman;false
;5;1005;started;Morocco;one;Jones-Burton;false
;6;1006;started;El Salvador;one;Rangel LLC;false
;7;1007;created;India;one;Reyes-Wallace;false
;8;1008;created;Palau;one;Williams LLC;false
;9;1009;stopped;Moldova;two;Drake, Johnson and Cooper;false
;10;1010;created;Kyrgyzstan;one;Pierce, Hartman and David;false
;11;1011;created;Saint Vincent & the Grenadines;two;Phillips Ltd;false
;12;1012;started;Fiji;two;Rhodes-Beltran;false
;13;1013;created;Croatia;three;Guerra LLC;false
;14;1014;created;Georgia;three;Johnson PLC;false
;15;1015;stopped;Guyana;one;Romero Ltd;false
;16;1016;stopped;Croatia;three;Pitts, York and Kim;false
;17;1017;started;Armenia;two;Martinez-Lee;false
;18;1018;stopped;Sri Lanka;three;Collins Inc;false
;19;1019;created;Cambodia;three;Anderson, Fisher and Fowler;false
;20;1020;created;China;three;Harris-Matthews;false
;21;1021;started;Israel;two;Wade-Bauer;false
;22;1022;stopped;Mozambique;three;Jackson, Waters and Huff;false
;23;1023;created;Yemen;two;Brown, Knight and Beck;false
;24;1024;created;Gabon;three;Lopez and Sons;false
;25;1025;started;Taiwan;three;Johnson LLC;false
;26;1026;stopped;Dominica;two;Cross, Russell and Mcdaniel;false
;27;1027;stopped;Armenia;one;Brown-Chan;false
;28;1028;created;Nicaragua;one;Harrell, Evans and Hall;false
;29;1029;created;Sierra Leone;one;Smith-Guzman;false
;30;1030;created;Bhutan;two;Wood LLC;false
;31;1031;created;Turkmenistan;three;Johnson Group;false
;32;1032;started;Algeria;one;Cummings Inc;false
;33;1033;started;Laos;two;Jacobson-Beasley;false
;34;1034;started;Honduras;one;Donovan-Garza;false
;35;1035;started;Angola;one;Blevins PLC;false
;36;1036;started;Egypt;three;Owen-Vargas;false
;37;1037;started;Guinea-Bissau;three;Rodriguez-Smith;false
;38;1038;created;Sweden;three;Clark-Brown;false
;39;1039;created;Uganda;two;Smith Group;false
;40;1040;started;Sao Tome & Principe;three;Anderson-Gutierrez;false
;41;1041;stopped;China;three;Hutchinson, Cook and Woods;false
;42;1042;started;Argentina;two;Moody LLC;false
;43;1043;stopped;Belarus;two;Hays-Blanchard;false
;44;1044;started;Tajikistan;one;Turner-Williams;false
;45;1045;started;Germany;two;Allen-Clark;false
;46;1046;stopped;Austria;one;Garza Inc;false
